# time	pulse
7.559492669999999803e-01	-4.156111669999999592e+00
7.598661020000000432e-01	-3.890798108000000255e+00
7.637829379999999668e-01	-3.599049500000000457e+00
7.676997740000001125e-01	-3.292830391000000301e+00
7.716166090000000644e-01	-2.981980984999999862e+00
7.755334449999999880e-01	-2.674414968000000226e+00
7.794502800000000509e-01	-2.376324000999999964e+00
7.833671159999999745e-01	-2.092382820000000088e+00
7.872839520000000091e-01	-1.825949920000000004e+00
7.912007870000000720e-01	-1.579259816999999844e+00
7.951176229999999956e-01	-1.353603824999999983e+00
7.990344579999999475e-01	-1.149497122000000093e+00
8.029512940000000931e-01	-9.668306590000000922e-01
8.068681290000000450e-01	-8.050071220000000194e-01
8.107849649999999686e-01	-6.630607099999999976e-01
8.147018009999998922e-01	-5.397609669999999804e-01
8.186186359999999551e-01	-4.337012670000000569e-01
8.225354719999999897e-01	-3.433728449999999821e-01
8.264523070000000526e-01	-2.672254609999999975e-01
8.303691429999999762e-01	-2.037159239999999927e-01
8.342859790000000109e-01	-1.513457780000000141e-01
8.382028140000000738e-01	-1.086894780000000060e-01
8.421196499999999974e-01	-7.441435400000000200e-02
8.460364849999999493e-01	-4.729362499999999886e-02
8.499533209999999839e-01	-2.621364299999999828e-02
8.538701559999999358e-01	-1.017644800000000113e-02
8.577869920000000814e-01	1.701382000000000198e-03
8.617038280000000050e-01	1.019271599999999924e-02
8.656206629999999569e-01	1.596593699999999949e-02
8.695374990000001025e-01	1.959243399999999885e-02
8.734543340000000544e-01	2.155498499999999873e-02
8.773711699999999780e-01	2.225658799999999729e-02
8.812880050000000409e-01	2.202936999999999951e-02
8.852048409999999645e-01	2.114331600000000227e-02
8.891216769999999991e-01	1.981459799999999924e-02
8.930385120000000621e-01	1.821336600000000167e-02
8.969553479999999857e-01	1.647090000000000012e-02
9.008721829999999375e-01	1.468607699999999877e-02
9.047890190000000832e-01	1.293112300000000096e-02
9.087058550000000068e-01	1.125666699999999971e-02
9.126226899999999587e-01	9.696111000000000313e-03
9.165395259999999933e-01	8.269371999999998793e-03
9.204563609999999452e-01	6.986033000000000867e-03
